X,Y,Z,rho,p,T,U,V,W
-1.505150000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.961020000000000E-007, 1.068310000000000E-004
-1.467040000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999960000000000E-001, 9.999990000000000E-001, 5.000000000000000E+000,-2.919600000000000E-007, 2.239980000000000E-004
-1.428940000000000E-001, 1.905000000000000E-003, 2.434240000000000E-019, 1.400000000000000E+000, 9.999960000000000E-001, 9.999990000000000E-001, 5.000010000000000E+000, 1.295770000000000E-007,-2.440430000000000E-004
-1.390830000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000010000000000E+000, 3.416020000000000E-007, 1.453390000000000E-004
-1.352730000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 3.792500000000000E-007, 2.833110000000000E-005
-1.314620000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 4.999990000000000E+000, 2.604710000000000E-007,-2.765240000000000E-004
-1.276520000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999920000000000E-001, 9.999980000000001E-001, 4.999990000000000E+000,-7.264760000000000E-007,-5.039690000000000E-005
-1.238410000000000E-001, 1.905000000000000E-003, 2.434240000000000E-019, 1.400000000000000E+000, 9.999930000000000E-001, 9.999980000000001E-001, 5.000020000000000E+000,-7.226520000000000E-007,-3.143430000000000E-005
-1.200310000000000E-001, 1.905000000000000E-003,-6.023350000000000E-021, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000020000000000E+000, 3.654990000000000E-007, 1.108540000000000E-004
-1.162200000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400030000000000E+000, 1.000020000000000E+000, 1.000010000000000E+000, 5.000020000000000E+000, 1.753550000000000E-006,-1.303370000000000E-004
-1.124100000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 4.999940000000000E+000, 6.378430000000000E-008,-2.434600000000000E-004
-1.085990000000000E-001, 1.905000000000000E-003, 2.494470000000000E-019, 1.399980000000000E+000, 9.999790000000000E-001, 9.999940000000000E-001, 5.000000000000000E+000,-6.019010000000000E-007, 3.878840000000000E-004
-1.047890000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.399990000000000E+000, 9.999830000000000E-001, 9.999950000000000E-001, 5.000030000000000E+000,-1.338940000000000E-006,-2.677530000000000E-004
-1.009780000000000E-001, 1.905000000000000E-003,-6.023350000000000E-021, 1.400020000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000030000000000E+000,-4.404610000000000E-007, 1.754830000000000E-004
-9.716770000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000020000000000E+000, 1.000010000000000E+000, 4.999970000000000E+000, 1.381480000000000E-006, 2.019080000000000E-004
-9.335730000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 4.999950000000000E+000, 3.677840000000000E-007,-2.833290000000000E-004
-8.954680000000000E-002, 1.905000000000000E-003, 2.434240000000000E-019, 1.399990000000000E+000, 9.999820000000000E-001, 9.999950000000000E-001, 4.999960000000000E+000,-2.715810000000000E-006, 2.290730000000000E-005
-8.573630000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.399980000000000E+000, 9.999749999999999E-001, 9.999930000000000E-001, 5.000040000000000E+000,-7.737760000000000E-007, 3.561900000000000E-004
-8.192570000000000E-002, 1.905000000000000E-003,-6.023350000000000E-021, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000050000000000E+000, 1.867940000000000E-006,-1.865930000000000E-004
-7.811530000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400030000000000E+000, 1.000020000000000E+000, 1.000010000000000E+000, 5.000000000000000E+000, 3.203930000000000E-006,-1.172750000000000E-004
-7.430480000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000020000000000E+000, 1.000000000000000E+000, 4.999960000000000E+000, 1.226830000000000E-006,-3.600300000000000E-005
-7.049420000000001E-002, 1.905000000000000E-003, 2.494470000000000E-019, 1.399990000000000E+000, 9.999840000000000E-001, 9.999960000000000E-001, 5.000000000000000E+000,-1.612140000000000E-006, 2.122960000000000E-004
-6.668380000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.399990000000000E+000, 9.999860000000000E-001, 9.999960000000000E-001, 5.000030000000000E+000,-1.840080000000000E-006, 1.015600000000000E-004
-6.287320000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-8.613270000000000E-007, 1.281480000000000E-004
-5.906270000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 4.999980000000000E+000, 9.457170000000001E-008,-1.380170000000000E-005
-5.525220000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999960000000000E-001, 9.999990000000000E-001, 5.000000000000000E+000, 1.076960000000000E-006, 1.428720000000000E-004
-5.144170000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999960000000000E-001, 9.999990000000000E-001, 5.000020000000000E+000, 1.100700000000000E-006,-1.901620000000000E-004
-4.763120000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 5.551190000000000E-008, 2.936090000000000E-004
-4.382070000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 4.999980000000000E+000,-1.081050000000000E-006,-1.525330000000000E-004
-4.001030000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999980000000001E-001, 9.999990000000000E-001, 4.999990000000000E+000,-1.121490000000000E-006,-9.318170000000000E-005
