rho,p,T,U,V,W
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.032930000000000E-009, 5.331240000000000E-015
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 6.957420000000000E-010, 2.957430000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.619720000000000E-009, 6.485430000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.293600000000000E-009,-9.096569999999999E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.961190000000000E-009,-2.044560000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-5.518120000000000E-009, 1.896790000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-2.557310000000000E-009, 2.946570000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-7.917130000000001E-009, 1.828370000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-5.672750000000000E-009,-1.159530000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.243740000000000E-008,-1.781790000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.009920000000000E-008,-1.288010000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.344830000000000E-006,-6.822280000000000E-014
 1.224810000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 1.294390000000000E-004, 1.501860000000000E-014
 1.224890000000000E+000, 3.517320000000000E+004, 1.000180000000000E+002, 1.002270000000000E+003, 1.244100000000000E-002, 5.581190000000000E-014
 1.228100000000000E+000, 3.622090000000000E+004, 1.027280000000000E+002, 9.989960000000000E+002, 4.231270000000000E-001, 7.997670000000000E-014
 2.363660000000000E+000, 2.273360000000000E+005, 3.350010000000000E+002, 6.540970000000000E+002, 6.358170000000000E+001,-1.137720000000000E-013
 5.654970000000000E+000, 9.543420000000000E+005, 5.878110000000000E+002, 1.943700000000000E+002, 9.116650000000000E+001,-5.418410000000000E-013
 6.021120000000000E+000, 1.056480000000000E+006, 6.111500000000000E+002, 1.252730000000000E+002, 1.002140000000000E+002, 1.142320000000000E-012
 5.834960000000000E+000, 1.053830000000000E+006, 6.290670000000000E+002, 9.846030000000000E+001, 1.004300000000000E+002,-1.704420000000000E-012
 5.587610000000000E+000, 1.047620000000000E+006, 6.530460000000000E+002, 6.798869999999999E+001, 1.080450000000000E+002,-7.198580000000000E-013
 5.492080000000000E+000, 1.054320000000000E+006, 6.686480000000000E+002, 4.483480000000000E+001, 1.185440000000000E+002,-1.584940000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.356030000000000E-010, 2.517550000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-7.576390000000000E-010,-5.334560000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.560620000000000E-011, 7.754310000000000E-016
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.012380000000000E-009, 4.105320000000000E-015
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 6.219760000000000E-011,-1.608720000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-2.249880000000000E-009,-1.422870000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.008830000000000E-009,-1.166500000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-3.382280000000000E-009,-1.451300000000000E-013
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-1.717580000000000E-009, 1.688000000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003,-4.955490000000000E-009, 7.662930000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 6.332750000000000E-008, 6.925830000000000E-014
 1.224810000000000E+000, 3.516460000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 5.190700000000000E-006, 4.003360000000000E-014
 1.224810000000000E+000, 3.516470000000000E+004, 1.000000000000000E+002, 1.002350000000000E+003, 2.805750000000000E-004,-3.873720000000000E-015
 1.224920000000000E+000, 3.517500000000000E+004, 1.000210000000000E+002, 1.002260000000000E+003, 2.187530000000000E-002,-4.697890000000000E-014
 1.229270000000000E+000, 3.637610000000000E+004, 1.030700000000000E+002, 9.985020000000000E+002, 9.749230000000000E-001,-7.157530000000000E-014
 2.590220000000000E+000, 2.585170000000000E+005, 3.476290000000000E+002, 6.241160000000000E+002, 1.156990000000000E+002,-7.131470000000000E-014
 5.660760000000000E+000, 9.334930000000000E+005, 5.743810000000000E+002, 2.236180000000000E+002, 1.555380000000000E+002,-7.070150000000000E-014
