X,Y,Z,rho,p,T,U,V,W
-1.505150000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 4.767490000000000E-016, 0.000000000000000E+000
-1.467040000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.064180000000000E-014, 0.000000000000000E+000
-1.428940000000000E-001, 1.905000000000000E-003, 2.434240000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.432250000000000E-014, 0.000000000000000E+000
-1.390830000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.043510000000000E-014, 0.000000000000000E+000
-1.352730000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-2.516770000000000E-014, 0.000000000000000E+000
-1.314620000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-4.688140000000000E-014, 0.000000000000000E+000
-1.276520000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000,-1.993680000000000E-014, 0.000000000000000E+000
-1.238410000000000E-001, 1.905000000000000E-003, 2.434240000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.714960000000000E-014, 0.000000000000000E+000
-1.200310000000000E-001, 1.905000000000000E-003,-6.023350000000000E-021, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.364240000000000E-014, 0.000000000000000E+000
-1.162200000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 2.576110000000000E-014, 0.000000000000000E+000
-1.124100000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 4.519110000000000E-014, 0.000000000000000E+000
-1.085990000000000E-001, 1.905000000000000E-003, 2.494470000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 6.808180000000000E-014, 0.000000000000000E+000
-1.047890000000000E-001, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 1.190070000000000E-013, 0.000000000000000E+000
-1.009780000000000E-001, 1.905000000000000E-003,-6.023350000000000E-021, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 7.589980000000000E-014, 0.000000000000000E+000
-9.716770000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 7.979040000000000E-014, 0.000000000000000E+000
-9.335730000000000E-002, 1.905000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 8.396780000000000E-014, 0.000000000000000E+000
-8.954680000000000E-002, 1.905000000000000E-003, 2.434240000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 8.525140000000000E-014, 0.000000000000000E+000
